name,artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,sentiment_score,dominant_topic
"O, Holy Night",sleeping last,0.2580971659919028,0.23,0.6512967574774231,0.0359293873312564,0.6967871485943775,0.0,0.1072144288577154,0.0523713420787083,0.547742761014337,0.4045454545454545,2
Shutters and Boards,dean martin,0.4554655870445344,0.32,0.5858425779186477,0.0357217030114226,0.96285140562249,1.77e-06,0.2324649298597194,0.5388496468213926,0.5042904506301791,0.1167464114832536,0
Healing Rain,michael w smith,0.4291497975708502,0.598,0.7770985837546852,0.0317757009345794,0.0576305220883534,4.44e-05,0.1052104208416833,0.101917255297679,0.5735059052462461,-0.2160493827160493,8
The Air That I Breathe,hollies,0.2783400809716599,0.403,0.6719492868462758,0.0313603322949117,0.2580321285140562,0.000526,0.2224448897795591,0.2744702320887992,0.6886592290679564,0.2368421052631578,8
Lobby,anittamissy elliott,0.7682186234817814,0.711,0.8182275551530702,0.0398753894080996,0.0478915662650602,1.19e-06,0.1432865731462925,0.4399596367305751,0.457465465858315,0.1881313131313131,1
Second Hand Smoke,jedi mind tricks,0.5890688259109311,0.917,0.8490428395341232,0.1692627206645898,0.6556224899598394,8.06e-05,0.4078156312625249,0.7023208879919273,0.3513141165841554,-0.0876623376623376,7
Two Minute Warning - 2007 Remaster,depeche mode,0.7489878542510121,0.845,0.6956456116519508,0.0400830737279335,0.0355421686746987,0.0124,0.1983967935871743,0.7759838546922301,0.4518443418788045,0.2106666666666666,3
That Kind of Guy,pamela morgan,0.6174089068825911,0.3,0.6657610746358765,0.0273104880581516,0.9156626506024096,0.0189,0.0821643286573145,0.1311806256306761,0.4058124465993222,0.5127450980392156,5
Little Cakey (Nom Nom Nom),koit,0.7631578947368421,0.4629999999999999,0.7376550197469374,0.3925233644859812,0.7248995983935743,0.0,0.0776553106212424,0.9707366296670028,0.5322080183800534,-0.1875,3
Ghosts,came romans,0.4129554655870445,0.988,0.8349306970543103,0.284527518172378,0.028714859437751,0.0,0.0737474949899799,0.0470232088799192,0.378283247415305,-0.0773022432113341,5
Hollywood Dreams,swedish erotica,0.5627530364372471,0.486,0.6131361155132946,0.0285565939771547,0.1114457831325301,0.0,0.3567134268537074,0.4783047426841574,0.5543000576420714,0.1211111111111111,3
Trippin',zz top,0.6862348178137652,0.805,0.7570497824063592,0.030944963655244,0.0244979919678714,0.0346,0.0645290581162324,0.9273461150353178,0.457906979596342,-0.0649999999999999,6
Old Dog Blue,david johansen harry smiths,0.7550607287449392,0.2269999999999999,0.5786733076748924,0.0570093457943925,0.751004016064257,0.000426,0.0571142284569138,0.7689202825428859,0.4988859954295152,0.1111607142857142,3
Candy Kiss,creepshow,0.5414979757085021,0.962,0.8997559932583704,0.0631360332294911,0.0005020080321285,0.0,0.3727454909819639,0.4934409687184661,0.4085514670111564,-0.1551948051948051,5
Huh,g herbo southside,0.7793522267206477,0.971,0.8385530651774709,0.2969885773624091,0.2660642570281125,2.11e-05,0.3336673346693385,0.7164480322906155,0.7028694304881586,-0.0658513708513708,7
We left as skeletons,pageninetynine,0.3289473684210526,0.942,0.8282896888285161,0.0842159916926272,1.1546184738955823e-05,0.656,0.1683366733466934,0.2411705348133198,0.3380237354515091,-0.3671428571428571,0
My Best Friend's Fiancee,walker hayes,0.7317813765182186,0.841,0.8152592257188137,0.0326064382139148,0.1706827309236948,0.0,0.0741482965931863,0.9132189707366296,0.4822842612616664,0.2153333333333333,0
Primal Breath,gates,0.1558704453441295,0.971,0.7809725052197318,0.185877466251298,2.5e-06,0.954,0.2745490981963926,0.0736629667003027,0.7054531034736502,0.30625,8
Civilization,justice,0.5819838056680161,0.625,0.8157874877367746,0.0358255451713395,0.0014558232931726,0.0,0.0818637274549098,0.284561049445005,0.4578006892520021,0.0,8
1-800 Suicide,gravediggaz,0.7196356275303644,0.616,0.6560259603048826,0.3499480789200415,0.1917670682730924,1.7e-05,0.0792585170340681,0.5529767911200807,0.6883648865759382,0.0019523601398601,7
Golden Embers,mandolin orange,0.6589068825910931,0.168,0.538097753628657,0.0327102803738317,0.8704819277108434,0.00426,0.1132264529058116,0.3269424823410696,0.4865971963877635,0.0818181818181818,3
My Zero,ezra furman,0.5526315789473685,0.798,0.8011722385731894,0.0420560747663551,0.0112449799196787,0.00181,0.5410821643286573,0.910191725529768,0.5559230294383373,-0.0703125,0
Audience Of One,rise,0.3967611336032389,0.93,0.8522878776444545,0.0447559709241952,0.0002520080321285,2.07e-05,0.2535070140280561,0.6165489404641775,0.6616206007039692,0.3476190476190476,0
First Impressions,julia nunes,0.7034412955465587,0.17,0.6953689029758761,0.0306334371754932,0.9447791164658634,0.0,0.1062124248496993,0.2906155398587285,0.3918843234006369,0.1514285714285714,5
Turn the Page,hypocrisy,0.1396761133603239,0.93,0.78990264885669,0.0911734164070612,5.381526104417671e-06,0.687,0.1092184368737474,0.1927346115035317,0.7373156782345992,-0.2571428571428571,4
Let Go,maximum love,0.5050607287449392,0.543,0.7382335924332755,0.0298026998961578,0.3775100401606426,0.609,0.343687374749499,0.5449041372351161,0.6872978950423732,0.2,0
The Old Form of Worship,darzamat,0.4210526315789473,0.947,0.8177999144718637,0.088681204569055,1.596385542168675e-05,0.0269,0.3947895791583165,0.0556004036326942,0.4701426334659237,-0.45,9
Amanda,dave alvin,0.4078947368421052,0.376,0.6682514527205494,0.0295950155763239,0.2791164658634538,0.134,0.0924849699398797,0.3158425832492432,0.6353055642995262,0.10625,2
Valentine Love (Slow Version),michael henderson,0.6781376518218624,0.379,0.6334616255376952,0.0440290758047767,0.0019277108433734,0.00209,0.0768537074148296,0.2946518668012108,0.3414945240032214,0.3666666666666667,4
Pose Off,red fox screechie dan,0.8755060728744939,0.62,0.6661635599828943,0.1298026998961578,0.0767068273092369,0.0,0.1703406813627254,0.8738647830474268,0.3801106237199168,0.2256696428571428,1
Bonkers in Phoenix,fall,0.4827935222672064,0.8,0.5778180263124796,0.1349948078920041,0.3403614457831324,0.00162,0.471943887775551,0.1937436932391523,0.375732279151149,-0.1701923076923077,5
Just One Of Your Kisses,ralfi pagan,0.618421052631579,0.225,0.5326642014439162,0.0885773624091381,0.9136546184738956,0.153,0.1332665330661322,0.6205852674066599,0.6029278901775458,0.30125,5
Last Resort (Reloaded),papa roachjeris johnson,0.6467611336032388,0.684,0.807662314793852,0.0366562824506749,0.0096987951807228,0.0,0.1943887775551102,0.4692230070635722,0.3599563391970173,-0.0736,4
Looking for Astronauts,national,0.5050607287449392,0.8590000000000001,0.786380902070284,0.0362409138110072,0.0674698795180722,0.0777,0.2054108216432865,0.8970736629667003,0.5664621258886486,-0.2192307692307691,0
Blue Monday,fats domino,0.3927125506072874,0.832,0.7045505999547204,0.0399792315680166,0.5943775100401606,0.0,0.1352705410821643,0.9182643794147326,0.6185198660741662,-0.2444444444444444,7
Bloodflower,draconian,0.402834008097166,0.886,0.8297486982114557,0.047871235721703,0.000762048192771,0.00689,0.1172344689378757,0.1170534813319879,0.5722917424666719,0.0848901098901099,8
Want You Back,5 seconds summer,0.6255060728744939,0.867,0.8253716700626368,0.0455867082035306,0.0070180722891566,1.03e-06,0.2024048096192384,0.5842583249243188,0.4007554790628462,-0.0838235294117647,5
100,dean blunt,0.6204453441295547,0.807,0.786255125399341,0.0255451713395638,0.0004076305220882,0.065,0.2675350701402805,0.486377396569122,0.4178232555097235,-0.425,4
Criminal - Live,pretenders,0.2388663967611335,0.618,0.6899605061253239,0.0634475597092419,0.0218875502008032,0.0005059999999999,0.9278557114228456,0.2946518668012108,0.6936671395224294,0.2241176470588235,0
